depth,value,measurement
10,23.6172,primarytemp1
20,23.5776,primarytemp1
30,23.5162,primarytemp1
40,23.5013,primarytemp1
50,23.4503,primarytemp1
60,23.3803,primarytemp1
70,22.9767,primarytemp1
80,22.0785,primarytemp1
90,19.8932,primarytemp1
100,18.6511,primarytemp1
110,16.9338,primarytemp1
120,15.4409,primarytemp1
130,14.5509,primarytemp1
140,14.0967,primarytemp1
150,13.8459,primarytemp1
160,13.4835,primarytemp1
170,13.248,primarytemp1
180,12.9529,primarytemp1
190,12.6075,primarytemp1
200,12.5021,primarytemp1
210,12.3836,primarytemp1
220,12.2848,primarytemp1
230,12.1552,primarytemp1
240,11.9957,primarytemp1
250,11.8666,primarytemp1
260,11.7538,primarytemp1
270,11.6757,primarytemp1
280,11.4161,primarytemp1
290,11.2211,primarytemp1
300,11.0205,primarytemp1
310,10.9127,primarytemp1
320,10.7019,primarytemp1
330,10.5555,primarytemp1
340,10.4547,primarytemp1
350,10.2771,primarytemp1
360,10.1006,primarytemp1
370,10.0182,primarytemp1
380,9.941,primarytemp1
390,9.714,primarytemp1
400,9.4479,primarytemp1
410,9.2404,primarytemp1
420,9.0186,primarytemp1
430,8.752,primarytemp1
440,8.6152,primarytemp1
450,8.4583,primarytemp1
460,8.3103,primarytemp1
470,8.1182,primarytemp1
480,7.8903,primarytemp1
490,7.7146,primarytemp1
500,7.5868,primarytemp1
520,7.2978,primarytemp1
540,7.0812,primarytemp1
560,6.8764,primarytemp1
580,6.6323,primarytemp1
600,6.4645,primarytemp1
620,6.2853,primarytemp1
640,6.0968,primarytemp1
660,6.0018,primarytemp1
680,5.8513,primarytemp1
700,5.6824,primarytemp1
720,5.5619,primarytemp1
740,5.4166,primarytemp1
760,5.3211,primarytemp1
780,5.2224,primarytemp1
800,5.1298,primarytemp1
820,5.0509,primarytemp1
840,4.9614,primarytemp1
860,4.8736,primarytemp1
880,4.7765,primarytemp1
900,4.7001,primarytemp1
920,4.636,primarytemp1
940,4.5377,primarytemp1
960,4.4717,primarytemp1
980,4.3946,primarytemp1
1000,4.3171,primarytemp1
10,23.5888,primarytemp2
20,23.5617,primarytemp2
30,23.5069,primarytemp2
40,23.4566,primarytemp2
50,23.3653,primarytemp2
60,22.8968,primarytemp2
70,21.6576,primarytemp2
80,19.5333,primarytemp2
90,18.2426,primarytemp2
100,16.633,primarytemp2
110,15.2696,primarytemp2
120,14.4459,primarytemp2
130,14.1349,primarytemp2
140,13.8896,primarytemp2
150,13.7002,primarytemp2
160,13.3381,primarytemp2
170,13.0665,primarytemp2
180,12.7963,primarytemp2
190,12.5613,primarytemp2
200,12.4768,primarytemp2
210,12.3172,primarytemp2
220,12.2226,primarytemp2
230,12.0772,primarytemp2
240,11.9164,primarytemp2
250,11.7417,primarytemp2
260,11.6085,primarytemp2
270,11.4468,primarytemp2
280,11.1879,primarytemp2
290,11.0169,primarytemp2
300,10.8977,primarytemp2
310,10.6654,primarytemp2
320,10.5166,primarytemp2
330,10.4319,primarytemp2
340,10.2493,primarytemp2
350,10.0841,primarytemp2
360,10.0046,primarytemp2
370,9.8481,primarytemp2
380,9.5795,primarytemp2
390,9.3711,primarytemp2
400,9.1685,primarytemp2
410,8.8857,primarytemp2
420,8.7255,primarytemp2
430,8.607,primarytemp2
440,8.4858,primarytemp2
450,8.3337,primarytemp2
460,8.1768,primarytemp2
470,8.0533,primarytemp2
480,7.9092,primarytemp2
490,7.7103,primarytemp2
500,7.6388,primarytemp2
520,7.2966,primarytemp2
540,7.1045,primarytemp2
560,6.8845,primarytemp2
580,6.6131,primarytemp2
600,6.4656,primarytemp2
620,6.3082,primarytemp2
640,6.086,primarytemp2
660,5.9954,primarytemp2
680,5.8191,primarytemp2
700,5.6653,primarytemp2
720,5.5424,primarytemp2
740,5.4033,primarytemp2
760,5.3167,primarytemp2
780,5.1998,primarytemp2
800,5.1114,primarytemp2
820,5.025,primarytemp2
840,4.943,primarytemp2
860,4.8454,primarytemp2
880,4.7572,primarytemp2
900,4.6874,primarytemp2
920,4.6153,primarytemp2
940,4.5147,primarytemp2
960,4.449,primarytemp2
980,4.3707,primarytemp2
1000,4.3204,primarytemp2
10,23.6181,secondarytemp1
20,23.5795,secondarytemp1
30,23.5171,secondarytemp1
40,23.5023,secondarytemp1
50,23.4512,secondarytemp1
60,23.3812,secondarytemp1
70,22.9753,secondarytemp1
80,22.0784,secondarytemp1
90,19.8932,secondarytemp1
100,18.6503,secondarytemp1
110,16.9126,secondarytemp1
120,15.4407,secondarytemp1
130,14.5526,secondarytemp1
140,14.0965,secondarytemp1
150,13.846,secondarytemp1
160,13.4837,secondarytemp1
170,13.2506,secondarytemp1
180,12.9529,secondarytemp1
190,12.6063,secondarytemp1
200,12.5031,secondarytemp1
210,12.3837,secondarytemp1
220,12.2853,secondarytemp1
230,12.1552,secondarytemp1
240,11.9951,secondarytemp1
250,11.8667,secondarytemp1
260,11.7544,secondarytemp1
270,11.6757,secondarytemp1
280,11.4156,secondarytemp1
290,11.2194,secondarytemp1
300,11.0205,secondarytemp1
310,10.9114,secondarytemp1
320,10.7015,secondarytemp1
330,10.5552,secondarytemp1
340,10.4534,secondarytemp1
350,10.2767,secondarytemp1
360,10.1004,secondarytemp1
370,10.0177,secondarytemp1
380,9.9404,secondarytemp1
390,9.7123,secondarytemp1
400,9.4476,secondarytemp1
410,9.2388,secondarytemp1
420,9.0177,secondarytemp1
430,8.7515,secondarytemp1
440,8.6148,secondarytemp1
450,8.4578,secondarytemp1
460,8.3098,secondarytemp1
470,8.1176,secondarytemp1
480,7.8895,secondarytemp1
490,7.7141,secondarytemp1
500,7.586,secondarytemp1
520,7.297,secondarytemp1
540,7.0797,secondarytemp1
560,6.8754,secondarytemp1
580,6.6318,secondarytemp1
600,6.4638,secondarytemp1
620,6.2847,secondarytemp1
640,6.096,secondarytemp1
660,6.0006,secondarytemp1
680,5.8496,secondarytemp1
700,5.6816,secondarytemp1
720,5.5613,secondarytemp1
740,5.416,secondarytemp1
760,5.3207,secondarytemp1
780,5.2219,secondarytemp1
800,5.1293,secondarytemp1
820,5.0504,secondarytemp1
840,4.9607,secondarytemp1
860,4.8728,secondarytemp1
880,4.776,secondarytemp1
900,4.6998,secondarytemp1
920,4.6356,secondarytemp1
940,4.5374,secondarytemp1
960,4.4714,secondarytemp1
980,4.3943,secondarytemp1
1000,4.3168,secondarytemp1
10,23.5857,secondarytemp2
20,23.5667,secondarytemp2
30,23.5056,secondarytemp2
40,23.4522,secondarytemp2
50,23.3611,secondarytemp2
60,22.972,secondarytemp2
70,21.6887,secondarytemp2
80,19.328,secondarytemp2
90,18.2069,secondarytemp2
100,16.6193,secondarytemp2
110,15.2926,secondarytemp2
120,14.4539,secondarytemp2
130,14.1391,secondarytemp2
140,13.887,secondarytemp2
150,13.7015,secondarytemp2
160,13.3822,secondarytemp2
170,13.0431,secondarytemp2
180,12.8025,secondarytemp2
190,12.5486,secondarytemp2
200,12.4766,secondarytemp2
210,12.321,secondarytemp2
220,12.2074,secondarytemp2
230,12.067,secondarytemp2
240,11.8939,secondarytemp2
250,11.7343,secondarytemp2
260,11.6173,secondarytemp2
270,11.4381,secondarytemp2
280,11.1369,secondarytemp2
290,11.0233,secondarytemp2
300,10.8851,secondarytemp2
310,10.6657,secondarytemp2
320,10.5177,secondarytemp2
330,10.4218,secondarytemp2
340,10.2606,secondarytemp2
350,10.0891,secondarytemp2
360,9.9998,secondarytemp2
370,9.8581,secondarytemp2
380,9.5912,secondarytemp2
390,9.4043,secondarytemp2
400,9.175,secondarytemp2
410,8.9233,secondarytemp2
420,8.7348,secondarytemp2
430,8.5911,secondarytemp2
440,8.4952,secondarytemp2
450,8.3389,secondarytemp2
460,8.1546,secondarytemp2
470,8.0533,secondarytemp2
480,7.9002,secondarytemp2
490,7.7218,secondarytemp2
500,7.643,secondarytemp2
520,7.2987,secondarytemp2
540,7.1111,secondarytemp2
560,6.8788,secondarytemp2
580,6.6132,secondarytemp2
600,6.4498,secondarytemp2
620,6.2947,secondarytemp2
640,6.0866,secondarytemp2
660,5.9815,secondarytemp2
680,5.8236,secondarytemp2
700,5.6803,secondarytemp2
720,5.5382,secondarytemp2
740,5.4009,secondarytemp2
760,5.3162,secondarytemp2
780,5.2042,secondarytemp2
800,5.1162,secondarytemp2
820,5.0266,secondarytemp2
840,4.943,secondarytemp2
860,4.8443,secondarytemp2
880,4.7544,secondarytemp2
900,4.683,secondarytemp2
920,4.6174,secondarytemp2
940,4.5223,secondarytemp2
960,4.4473,secondarytemp2
980,4.3728,secondarytemp2
1000,4.3187,secondarytemp2
10,35.5912,primarysalinity1
20,35.5894,primarysalinity1
30,35.5884,primarysalinity1
40,35.5918,primarysalinity1
50,35.5991,primarysalinity1
60,35.5929,primarysalinity1
70,35.5516,primarysalinity1
80,35.5134,primarysalinity1
90,35.3977,primarysalinity1
100,35.2898,primarysalinity1
110,35.0556,primarysalinity1
120,35.0353,primarysalinity1
130,35.0063,primarysalinity1
140,34.9967,primarysalinity1
150,34.9842,primarysalinity1
160,34.9606,primarysalinity1
170,34.9479,primarysalinity1
180,34.9301,primarysalinity1
190,34.8964,primarysalinity1
200,34.8962,primarysalinity1
210,34.8869,primarysalinity1
220,34.8819,primarysalinity1
230,34.8745,primarysalinity1
240,34.8686,primarysalinity1
250,34.8597,primarysalinity1
260,34.8504,primarysalinity1
270,34.8436,primarysalinity1
280,34.8261,primarysalinity1
290,34.8149,primarysalinity1
300,34.8047,primarysalinity1
310,34.7965,primarysalinity1
320,34.7846,primarysalinity1
330,34.7754,primarysalinity1
340,34.7679,primarysalinity1
350,34.7575,primarysalinity1
360,34.747,primarysalinity1
370,34.7414,primarysalinity1
380,34.7366,primarysalinity1
390,34.7174,primarysalinity1
400,34.7007,primarysalinity1
410,34.685,primarysalinity1
420,34.6726,primarysalinity1
430,34.6576,primarysalinity1
440,34.6519,primarysalinity1
450,34.6433,primarysalinity1
460,34.6345,primarysalinity1
470,34.6238,primarysalinity1
480,34.6132,primarysalinity1
490,34.6063,primarysalinity1
500,34.6011,primarysalinity1
520,34.588,primarysalinity1
540,34.5788,primarysalinity1
560,34.5713,primarysalinity1
580,34.561,primarysalinity1
600,34.554,primarysalinity1
620,34.5491,primarysalinity1
640,34.5428,primarysalinity1
660,34.5446,primarysalinity1
680,34.542,primarysalinity1
700,34.539,primarysalinity1
720,34.5392,primarysalinity1
740,34.5385,primarysalinity1
760,34.54,primarysalinity1
780,34.5385,primarysalinity1
800,34.538,primarysalinity1
820,34.5392,primarysalinity1
840,34.5399,primarysalinity1
860,34.54,primarysalinity1
880,34.5423,primarysalinity1
900,34.5429,primarysalinity1
920,34.5433,primarysalinity1
940,34.5449,primarysalinity1
